,AL00,AT00,BA00,BE00,BG00
10,0.02668395,0.0,0.187288,0.7551821,0.0
11,0.0,0.0,0.09343716,0.5882201,0.0
12,0.02344117,0.0,0.03355617,0.5882201,0.0
13,0.08287214,0.0,0.03701762,0.5882201,0.0
14,0.07338309,0.0,0.07871489,0.5882201,0.0
15,0.0505973,0.0,0.06991823,0.5882201,0.0
16,0.02789754,0.0,0.1586421,0.6324268,0.0
17,0.0,0.0,0.2303502,0.8243401,0.0
18,0.01193432,0.0,0.2644764,0.8876982,0.0
19,0.108553,0.0,0.112539,0.8976357,0.0
20,0.1479275,0.0,0.1355665,0.8976357,0.0
21,0.1033074,0.0,0.02489192,0.8976357,0.0
22,0.2023323,0.0,0.03217757,0.8976357,0.0
23,0.2755931,0.0,0.02559999,0.8976357,0.0
24,0.5483807,0.0,0.1159168,0.8976357,0.0
25,0.1807309,0.0,0.1407512,0.9499999,0.0
26,0.168553,0.0,0.1622321,0.9499999,0.0
27,0.1187364,0.0,0.06986742,0.9499999,0.0
28,0.03761519,0.0,0.0,0.9499999,0.0
29,0.006257222,0.0,0.0,0.8235939,0.0
30,0.004942699,0.0,0.0,0.7478868,0.0
31,0.0,0.0,0.0,0.7035352,0.0
32,0.0,0.0,0.0,0.7035352,0.0
33,0.0,0.0,0.0,0.7035352,0.0
34,0.0,0.0,0.0,0.7613323,0.0
35,0.0,0.0,0.0196452,0.884819,0.0
36,0.0,0.0,0.0,0.9499999,0.0
37,0.0,0.0,0.0,0.9499999,0.0
38,0.0,0.0,0.0,0.8884463,0.0
39,0.0,0.0,0.0,0.8780839,0.0
40,0.0,0.0,0.0,0.4631439,0.0
41,0.0,0.0,0.0,0.4856154,0.0
42,0.0,0.0,0.0,0.5989026,0.0
43,0.0,0.0,0.0,0.3936605,0.0
44,0.02086382,0.0,0.0,0.4394307,0.0
45,0.0,0.0,0.0,0.7935821,0.0
46,0.0,0.0,0.0,0.6562136,0.0
47,0.0,0.0,0.0,0.4281625,0.0
48,0.0,0.0,0.0,0.7218976,0.0
49,0.0,0.0,0.0,0.9499999,0.0
50,0.0,0.0,0.0,0.9499999,0.0
51,0.0,0.0,0.0,0.9499999,0.0
52,0.0,0.0,0.0,0.9123439,0.0
53,0.0,0.0,0.0,0.5958238,0.0
54,0.0,0.0,0.01024581,0.5396808,0.0
55,0.008495096,0.0,0.004228306,0.2099202,0.0
56,0.04740862,0.0,0.0,0.177614,0.0
57,0.020445,0.0,0.004340645,0.1293526,0.0
58,0.0,0.0,0.08787534,0.1291303,0.0
59,0.0,0.0,0.1766629,0.1291303,0.0
60,0.0,0.0,0.2453403,0.1291303,0.0
61,0.0,0.0,0.266455,0.1291303,0.0
62,0.0,0.0,0.3334743,0.2275059,0.0
63,0.0367333,0.0,0.3792606,0.9499999,0.0
64,0.1023641,0.0,0.4758238,0.9499999,0.0
65,0.1200815,0.0,0.7695479,0.9499999,0.0
66,0.1146093,0.0,0.6239808,0.9499999,0.0
67,0.05267242,0.0,0.6517761,0.9499999,0.0
68,0.08145513,0.0,0.5967964,0.9499999,0.0
69,0.07854488,0.0,0.5305462,0.95,0.0
70,0.05219026,0.0,0.7464881,0.9373292,0.0
71,0.07091595,0.0,0.95,0.6369403,0.0
72,0.1320602,0.0,0.95,0.5178347,0.0
73,0.1520623,0.0,0.939204,0.5178347,0.0
74,0.3846299,0.0,0.95,0.5178347,0.0
75,0.3067513,0.0,0.9400305,0.5178347,0.0
