,AL00,AT00,BA00,BE00,BG00
10,0.05850001,0.0,0.1879334,0.8126294401153151,0.0
11,0.04129776,0.0,0.272282,0.7332290730955697,0.0
12,0.03308883,0.0,0.2619866,0.7332290730955697,0.0
13,0.04222661,0.0,0.04455253,0.7307305658539999,0.0
14,0.06224973,0.0,0.06285288,0.7307305658539999,0.0
15,0.08266147,0.0,0.05032039,0.7303396492452924,0.0
16,0.06261957,0.0,0.0273019,0.7199424721083479,0.0
17,0.1033969,0.0,0.1261234,0.712424666327904,0.0
18,0.1134148,0.0,0.1664657,0.724544614585833,0.0
19,0.1015234,0.0,0.1802996,0.7668412653942898,0.0
20,0.08174577,0.0,0.1985927,0.8494967538998597,0.0
21,0.04667783,0.0,0.246437,0.8762038805410907,0.0
22,0.1195087,0.0,0.03254107,0.8853742096770234,0.0
23,0.10866,0.0,0.0,0.89452719987477,0.0
24,0.1459234,0.0,0.004128562,0.8654292492381526,0.0
25,0.1822759,0.0,0.05132541,0.8767177063754715,0.0
26,0.1506659,0.0,0.1006732,0.8803802876527648,0.0
27,0.1474074,0.0,0.1106144,0.8772688589764507,0.0
28,0.12126,0.0,0.02630777,0.8643909384282804,0.0
29,0.1252789,0.0,0.01891571,0.7913569254446541,0.0
30,0.04481735,0.0,0.01052991,0.7579288252528011,0.0
31,0.05471112,0.0,0.0,0.7385338171006636,0.0
32,0.002912625,0.0,0.0,0.7386440568595238,0.0
33,0.007046134,0.0,0.0,0.7840084669002639,0.0
34,0.006352981,0.0,0.001954212,0.8356995750710143,0.0
35,0.0,0.0,0.02654367,0.8690669012680736,0.0
36,0.0,0.0,0.0,0.8939688042895518,0.0
37,0.0,0.0,0.0,0.9499999673846868,0.0
38,0.0,0.0,0.0,0.9499999999999998,0.0
39,0.0,0.0,0.0,0.9417964007138696,0.0
40,0.0,0.0,0.0,0.8670351556320162,0.0
41,0.0,0.0,0.0,0.735275142567407,0.0
42,0.0,0.0,0.0,0.6014242051432529,0.0
43,0.0,0.0,0.0,0.5108029828624189,0.0
44,0.005603127,0.0,0.0,0.5612509096890247,0.0
45,0.0,0.0,0.0,0.8060992990641748,0.0
46,0.0,0.0,0.0,0.7288136124533984,0.0
47,0.04277539,0.0,0.0,0.7083113658872374,0.0
48,0.04751515,0.0,0.0,0.8112184486991731,0.0
49,0.0,0.0,0.0,0.9473858171296332,0.0
50,0.01327431,0.0,0.0,0.9499999999999998,0.0
51,0.0,0.0,0.0,0.9499999999999998,0.0
52,0.0,0.0,0.0,0.7162069952154073,0.0
53,0.0,0.0,0.000494434,0.3114874126957022,0.0
54,0.0,0.0,0.0,0.1573163219405131,0.0
55,0.0,0.0,0.0,0.1485030466733678,0.0
56,0.02142761,0.0,0.00310289,0.06038673528845277,0.0
57,0.06273484,0.0,0.0893742,0.005247899661540181,0.0
58,0.06086865,0.0,0.06843471,0.005247899661540181,0.0
59,0.0222265,0.0,0.1354974,0.004961568598502588,0.0
60,0.0,0.0,0.3221396,0.004961568598502588,0.0
61,0.02242675,0.0,0.5925145,0.004961568598502588,0.0
62,0.01761109,0.0,0.4205101,0.2652027837645164,0.0
63,0.02131672,0.0,0.6121402,0.8404085720891877,0.0
64,0.009319923,0.0,0.854508,0.9398412083952443,0.0
65,0.05914427,0.0,0.7981082,0.9398412083952443,0.0
66,0.1108466,0.0,0.95,0.9398412083952443,0.0
67,0.07912932,0.0,0.8186989,0.9398412083952443,0.0
68,0.1259115,0.0,0.7758421,0.9330925425681974,0.0
69,0.08085494,0.0,0.9301102,0.8936866733670931,0.0
70,0.07599171,0.0,0.9337791,0.6210930167340732,0.0
71,0.1104756,0.0,0.7874475,0.4892167622268944,0.0
72,0.1220077,0.0,0.9063261,0.4867914549166524,0.0
73,0.2281644,0.0,0.9499999,0.4867914549166524,0.0
